,class,depth
354,1.0,4538
355,1.0,4539
356,1.0,4540
357,1.0,4541
358,2.0,4542
359,1.0,4543
360,1.0,4544
361,1.0,4545
362,1.0,4546
363,1.0,4547
364,1.0,4548
365,2.0,4549
366,2.0,4550
367,2.0,4551
368,2.0,4552
369,2.0,4553
370,2.0,4554
371,2.0,4555
372,2.0,4556
373,2.0,4557
374,2.0,4558
375,1.0,4559
376,2.0,4560
377,1.0,4561
378,1.0,4562
379,2.0,4563
380,2.0,4564
381,2.0,4565
382,2.0,4566
383,1.0,4567
384,1.0,4568
385,1.0,4569
386,1.0,4570
387,2.0,4571
388,2.0,4572
389,2.0,4573
390,1.0,4574
391,0.0,4575
392,2.0,4576
393,2.0,4577
394,2.0,4578
395,2.0,4579
396,2.0,4580
397,2.0,4581
398,2.0,4582
399,2.0,4583
400,2.0,4584
401,2.0,4585
402,2.0,4586
403,2.0,4587
404,2.0,4588
405,2.0,4589
406,2.0,4590
407,2.0,4591
408,1.0,4592
409,2.0,4593
410,2.0,4594
411,1.0,4595
412,1.0,4596
413,2.0,4597
414,2.0,4598
415,1.0,4599
416,1.0,4600
417,1.0,4601
418,1.0,4602
419,1.0,4603
420,1.0,4604
421,1.0,4605
422,1.0,4606
423,1.0,4607
424,2.0,4608
425,2.0,4609
426,1.0,4610
427,1.0,4611
428,1.0,4612
429,1.0,4613
430,1.0,4614
431,1.0,4615
432,1.0,4616
433,1.0,4617
434,1.0,4618
435,1.0,4619
436,1.0,4620
437,1.0,4621
438,1.0,4622
439,0.0,4623
440,1.0,4624
441,1.0,4625
442,1.0,4626
443,1.0,4627
444,1.0,4628
445,1.0,4629
446,1.0,4630
447,1.0,4631
448,1.0,4632
449,1.0,4633
450,1.0,4634
451,1.0,4635
